product_id,comment,comment_clean_stage1,comment_clean_stage2,rating,positive,negative
honor-x8b,"Đừng mua, ko có linh kiện.","đừng mua, không có linh kiện.",đừng mua không linh_kiện,1,0,1
honor-x8b,"Mua online bên này báo ngoài ip ra thì hàng ko có full box, máy nhìn tạm ổn hơi nhẹ hơn Xiaomi, tuy nhiên gọi zalo mạng WiFi và 4GB đứng hình suốt mà check các máy khác thì vẫn gọi OK không phải do đường truyền mạng kém. Đã không có thời gian ra cửa hàng, giờ gọi hỏi thì bảo ra cửa hàng bảo hành. Mình mới mua được 2 hôm thôi. Giờ muốn đổi sang ip 13 thì có được đổi không Hay có hỗ trợ 1 đổi 1 không shop ơi Con máy này gọi zalo ko thấy hình chập chờn như vậy hoài dù mạng vẫn ổn định thì sao đây","mua online bên này báo ngoài iphone ra thì hàng không có full box, máy nhìn tạm ổn, hơi nhẹ hơn xiaomi, tuy nhiên gọi zalo mạng wifi và 4g đứng hình suốt mà check các máy khác thì vẫn gọi ok, không phải do đường truyền mạng kém. đã không có thời gian ra cửa hàng, giờ gọi hỏi thì bảo ra cửa hàng bảo hành. mình mới mua được hai hôm thôi. giờ muốn đổi sang iphone 13 thì có được đổi không hay có hỗ trợ một đổi một không shop ơi, con máy này gọi zalo không thấy hình chập chờn như vậy hoài dù mạng vẫn ổn định thì sao đây?",mua online bên báo iphone hàng không full box máy tạm ổn hơi nhẹ hơn xiaomi tuy_nhiên gọi mạng wifi 4g đứng hình suốt mà check máy khác vẫn gọi ổn không phải đường truyền mạng kém không thời_gian cửa_hàng giờ gọi hỏi bảo cửa_hàng bảo_hành mới mua được hai hôm giờ muốn đổi iphone 13 được đổi không hay hỗ_trợ đổi không shop máy gọi không thấy hình chập_chờn hoài dù mạng vẫn ổn_định sao,2,0,1
honor-x8b,"Mạng yếu hay mất sóng, đổi máy khác được không","mạng yếu hay mất sóng, đổi máy khác được không?",mạng yếu hay mất sóng đổi máy khác được không,1,0,1
iphone-12,"Mua máy lướt được 2 hôm đã lỗi loa ngoài, lúc bán nhân viên ko báo luôn là lỗi loa phải gửi đi bảo hành mất thời gian, tốn tiền dán cường lực với ppf","mua máy lướt được hai hôm đã lỗi loa ngoài, lúc bán nhân viên không báo luôn là lỗi loa phải gửi đi bảo hành, mất thời gian, tốn tiền dán cường lực với pda.",mua máy lướt được hai hôm lỗi loa lúc bán nhân_viên không báo lỗi loa phải gửi đi bảo_hành mất thời_gian tốn tiền dán cường_lực pda,1,0,1
iphone-12,Mới mua mà dễ nóng quá. Khi sạc và nhất là bật máy ảnh vài phút là nóng rồi,mới mua mà dễ nóng quá. khi sạc và nhất là bật máy ảnh vài phút là nóng rồi.,mới mua mà dễ nóng quá sạc nhất_là bật máy_ảnh phút nóng,2,0,1
iphone-12,Hàng trưng bày. Sạc 4x lần mà pin tụt còn 94%,hàng trưng bày. sạc 4 lần mà pin tụt còn 94%.,hàng trưng_bày sạc bốn lần mà pin tụt,1,0,1
iphone-12,Mặt kính cảm ứng cường lực nhưng ko chống sước. Dùng dc 2 tháng màn hình sước ko còn chỗ trống. Thua màn hình ip se 2020,mặt kính cảm ứng cường lực nhưng không chống sước. dùng được hai tháng màn hình sước không còn chỗ trống. thua màn hình iphone sẽ 2020?,mặt kính cảm_ứng cường_lực nhưng không chống xước dùng được hai tháng màn_hình xước không chỗ trống thua màn_hình iphone,1,0,1
iphone-12,Mai mốt mang đi bảo hành đây tự nhiên sọc màn cho dù không rơi,"mai mốt mang đi bảo hành đây, tự nhiên sọc màn cho dù không rơi.",mai_mốt mang đi bảo_hành tự_nhiên sọc màn cho_dù không rơi,1,0,1
iphone-12,Mới mua được 3 tháng bây giờ phát hiện ra bức xạ vậy ra đổi có được không,"mới mua được ba tháng bây giờ phát hiện ra bức xạ, vậy ra đổi có được không?",mới mua được tháng phát_hiện bức_xạ đổi được không,2,0,1
iphone-12,"Mới mua được 1 tháng thì xảy ra tình trạng tụt pin qua đêm, đã tắt toàn bộ các ứng dụng, mạng và bluetooth… chả hiểu nổi. Quá tệ","mới mua được một tháng thì xảy ra tình trạng tụt pin qua đêm, đã tắt toàn bộ các ứng dụng, mạng và bluetooth... chả hiểu nổi.. quá tệ!",mới mua được tháng xảy tình_trạng tụt pin đêm tắt toàn_bộ ứng_dụng mạng bluetooth chả nổi quá tệ,2,0,1
iphone-12,Bắt mạng rất yếu,bắt mạng rất yếu.,bắt mạng rất yếu,2,0,1
iphone-12,Tệ pin dại quá,tệ pin dại quá!.,tệ pin dại quá,1,0,1
iphone-12,"Pin của điện thoại mới mà như pin bị chai vậy, xuống rất nhanh. Mình rất thất vọng, mai mình đem ra shop đổi con khác đây!","pin của điện thoại mới mà như pin bị chai vậy, xuống rất nhanh. mình rất thất vọng, mai mình đem ra shop đổi con khác đây!",pin điện_thoại mới mà pin bị chai xuống rất nhanh rất thất_vọng mai đem shop đổi khác,2,0,1
iphone-12,Máy lỗi đổi khó khăn quá,máy lôi đổi khó khăn quá.,máy lôi đổi khó_khăn quá,1,0,1
iphone-12,May mới mà màn hình và sau lưng gõ ọp ọp ko biết có đc đổi may mơi ko,máy mới mà màn hình và sau lưng gõ ọp ọp không biết có được đổi máy mới không?,máy mới mà màn_hình sau lưng gõ ọp ọp không biết được đổi máy mới không,2,0,1
iphone-12,Dt mới mua chưa dk 2 tháng.bị như này là sao trời 🤨🤨,điện thoại mới mua chưa đầy hai tháng..bị như này là sao trời.,điện_thoại mới mua chưa đầy hai tháng bị sao trời,2,0,1
iphone-12,Máy mới sử dụng. 1 năm đã cháy main,máy mới sử dụng... một năm đã cháy main.,máy mới sử_dụng năm cháy main,1,0,1
iphone-12,"Có mua chiếc iPhone 12 đã qua sử dụng, được nhân viên kiểm tra là chủ cũ mua máy này hồi tháng 3 lúc 20h và trả lại siêu thị 22h. Nghĩa là chỉ sử dụng khoảng 2 tiếng đồng hồ. Nhân viên còn miêu tả là khách hàng trước còn chưa đem máy ra khỏi siêu thị. (Hình như là làm hồ sơ trả góp thế nào đó rồi trả lại). Nhưng không hiểu sao trong máy lại có hình gia đình họ chụp ở công viên :) Còn ngoại quan khung máy thì bong tróc khá nhiều, màn hình xước rất nhiều và rất sâu. Mua về dán cường lực hay dán dẻo PPF đều không thể che được các vết xước vì xước quá sâu. Hỏi nhân viên thì nhân viên bảo là do để trong kho lâu nên bị xước. Vì xước quá nên giảm thêm 300k. Thái độ phục vụ của siêu thị thì rất tốt, rất hài lòng. Còn nhân viên tổng đài gọi lại để xác nhận ngày hôm sau thì cách nói chuyện chưa tốt. Như cảnh sát hỏi cung tội phạm.","có mua chiếc iphone 12 đã qua sử dụng, được nhân viên kiểm tra là chủ cũ mua máy này hồi tháng ba lúc 20h và trả lại siêu thị 22h. nghĩa là chỉ sử dụng khoảng hai tiếng đồng hồ. nhân viên còn miêu tả là khách hàng trước còn chưa đem máy ra khỏi siêu thị. (hình như là làm hồ sơ trả góp thế nào đó rồi trả lại) nhưng không hiểu sao trong máy lại có hình gia đình họ chụp ở công viên còn ngoại quan khung máy thì bong tróc khá nhiều, màn hình xước rất nhiều và rất sâu. mua về dán cường lực hay dán dẻo ppf đều không thể che được các vết xước vì xước quá sâu. hỏi nhân viên thì nhân viên bảo là do để trong kho lâu nên bị xước. vì xước quá nên giảm thêm 300k. thái độ phục vụ của siêu thị thì rất tốt, rất hài lòng. còn nhân viên tổng đài gọi lại để xác nhận ngày hôm sau thì cách nói chuyện chưa tốt. như cảnh sát hỏi cung tội phạm.",mua iphone 12 sử_dụng được nhân_viên kiểm_tra chủ cũ mua máy hồi tháng lúc giờ trả lại siêu_thị giờ nghĩa_là chỉ sử_dụng hai tiếng đồng_hồ nhân_viên miêu_tả khách_hàng chưa đem máy khỏi siêu_thị hình_như làm hồ_sơ trả_góp trả lại nhưng không sao trong máy lại hình gia_đình chụp công_viên ngoại quan khung máy bong tróc khá nhiều màn_hình xước rất nhiều rất sâu mua dán cường_lực hay dán dẻo ppf không_thể che được vết xước xước quá sâu hỏi nhân_viên nhân_viên bảo trong kho lâu nên bị xước xước quá nên giảm thêm thái_độ phục_vụ siêu_thị rất tốt rất hài_lòng nhân_viên tổng_đài gọi lại xác_nhận ngày hôm sau cách nói_chuyện chưa tốt cảnh_sát hỏi_cung tội_phạm,2,0,1
iphone-12,Vừa mua hôm trước hôm sau đã phải đi bào hành vì loa thoại không có,vừa mua hôm trước hôm sau đã phải đi bảo hành vì loa thoại không có.,vừa mua hôm hôm sau phải đi bảo_hành loa thoại không,2,0,1
