product_id,comment,comment_clean,rating,positive,negative
honor-x8b,đừng mua không có linh kiện,đừng mua không linh_kiện,1,0,1
honor-x8b,mua online bên này báo ngoài tp ra thì hàng không có full box máy nhìn,mua online báo tp hàng_không full box máy,2,0,1
honor-x8b,mạng yếu hay mất sóng đổi máy khác được không,mạng yếu sóng đổi máy không,1,0,1
iphone-12,mua máy lướt được hôm đã lỗi loa ngoài lúc bán nhân viên không,mua máy lướt hôm lỗi loa nhân_viên không,1,0,1
iphone-12,mới mua mà dễ nóng quá khi sạc và nhất là bật máy ảnh vài phút là,mới mua dễ nóng sạc bật máy_ảnh phút,2,0,1
iphone-12,hàng trưng bày sạc lần mà pin tụt còn,hàng trưng_bày sạc pin tụt,1,0,1
iphone-12,mặt kính cảm ứng cường lực nhưng không chống nước dùng được tháng màn hình nước không còn chỗ trống thua màn hình sạch sẽ,mặt_kính cảm_ứng cường_lực không chống nước_dùng màn_hình không chỗ trống thua màn_hình sạch_sẽ,1,0,1
iphone-12,mai mốt mang đi bảo hành đây tự nhiên sọc màn cho dù không rơi,mai_mốt đi bảo hành tự_nhiên sọc màn không rơi,1,0,1
iphone-12,mới mua được tháng bây giờ phát hiện ra bức xạ vậy ra đổi có được không,mới mua phát_hiện bức_xạ đổi không,2,0,1
iphone-12,mới mua được tháng thì xảy ra tình trạng tụt pin qua đêm đã tắt toàn bộ các ứng dụng mạng và bluetooth chả hiểu nổi quá tệ,mới mua xảy tụt pin đêm tắt toàn_bộ ứng_dụng mạng bluetooth chả nổi tệ,2,0,1
iphone-12,bắt mạng rất yếu,bắt mạng yếu,2,0,1
iphone-12,tệ pin dại quá,tệ pin dại,1,0,1
iphone-12,pin của điện thoại mới mà như pin bị chai vậy xuống rất nhanh mình rất thất vọng mai mình đem ra shop đổi con khác đây,pin điện_thoại mới pin chai xuống nhanh thất_vọng mai đem shop đổi,2,0,1
iphone-12,máy lôi đổi khó khăn quá,máy lôi đổi khó_khăn,1,0,1
iphone-12,máy mới mà màn hình và sau lưng gõ ọp ọp không biết có được đổi máy mới không,máy mới màn_hình lưng gõ ọp ọp không đổi máy mới không,2,0,1
iphone-12,máy mới mua chưa đầy tháng bị như này là sao trời,máy mới mua trời,2,0,1
iphone-12,máy mới sử dụng năm đã cháy main,máy mới cháy main,1,0,1
