product_id,comment,comment_clean_stage1,comment_clean_stage2,rating,positive,negative
mobell-m331,Ok,ok!,ok,5,1,0
mobell-m331,Mở đèn pin ở chổ nào vậy ạ e kiếm ko thấy,"mở đèn pin ở chỗ nào vậy ạ, em kiếm không thấy.",mở đèn_pin chỗ nào kiếm không thấy,3,1,1
mobell-m331,Tốt,tốt.,tốt,4,1,0
mobell-m331,Rất tốt,rất tốt.,rất tốt,5,1,0
mobell-m331,Nhanh hết pin,nhanh hết pin.,nhanh hết pin,3,0,1
mobell-m331,Tốt,tốt.,tốt,5,1,0
mobell-m331,Tốt giá như có rung khi kết nối gọi thì ok hơn nhiều,"tốt, giá như có rung khi kết nối gọi thì ok hơn nhiều.",tốt giá_như rung kết_nối gọi ok hơn nhiều,4,1,0
mobell-m539,"Sao sim mình 4G nhưng xài điện thoại này báo không có sóng, xài điện thoại khác bình thường","sao sim mình 4g nhưng xài điện thoại này báo không có sóng, xài điện thoại khác bình thường?",sao sim 4g nhưng xài điện_thoại báo không sóng xài điện_thoại bình_thường,3,1,1
mobell-m539,"Điện thoại Mobell M539 4G sóng khoẻ, nghe rõ. Âm thanh trung thực. Phím bấm to và dễ bấm. Rất phù hợp cho những người lớn tuổi không cần nhiều ứng dụng thông minh. Giá cả phù hợp với mọi đối tượng.","điện thoại mobell m539 4g sóng khoẻ, nghe rõ. âm thanh trung thực. phím bấm to và dễ bấm. rất phù hợp cho những người lớn tuổi không cần nhiều ứng dụng thông minh. giá cả phù hợp với mọi đối tượng.",điện_thoại mobell m539 4g sóng khoẻ rõ âm_thanh trung_thực phím bấm to dễ bấm rất phù_hợp lớn_tuổi không cần nhiều ứng_dụng thông_minh giá_cả phù_hợp đối_tượng,5,1,0
mobell-m539,Sản phẩm nghe gọi rất rõ,sản phẩm nghe gọi rất rõ.,sản_phẩm gọi rất rõ,5,1,0
mobell-m539,"Nghe loa trong mà âm thanh vẫn dội ra ngoài từ phía sau nên nghe rất nhỏ, rất bất tiện khi nghe gọi thoại, nếu gặp trường hợp nói chuyện nơi ồn thì rất khó nghe, phải lật đt lại phía sau để nghe.","nghe loa trong mà âm thanh vẫn dội ra ngoài từ phía sau nên nghe rất nhỏ, rất bất tiện khi nghe gọi thoại, nếu gặp trường hợp nói chuyện nơi ồn thì rất khó nghe, phải lật điện thoại lại phía sau để nghe.",loa trong mà âm_thanh dội nên rất nhỏ rất bất_tiện gọi thoại nếu gặp trường_hợp nói_chuyện ồn rất khó phải lật điện_thoại,4,0,1
