product_id,comment,rating,source_file
honor-x8b,"Đừng mua, ko có linh kiện.",1,ratings\honor-x8b.csv
honor-x8b,máy sao cũng được ghét nhất cái zalo vui nó báo hiện tn cuộc gọi buồn thì nó im ru hên ít sài zalo chứ sài nhiều chắc vức,3,ratings\honor-x8b.csv
honor-x8b,"Chiếc điện thoại mỏng nhất tôi từng dùng, cũng là chip 680 trên máy này mượt hơn nhiều 680 ở SS a05s vợ đag dùng",5,ratings\honor-x8b.csv
honor-x8b,sao hôm tôi mua lại ko dc tặng tai nghe như trong giới thiệu nhỉ hôm đấy tôi cũng có xem thấy khuyến mãi,4,ratings\honor-x8b.csv
honor-x8b,E Mua đc 1 tuần trả lại mất bao nhiêu % ạ,3,ratings\honor-x8b.csv
honor-x8b,Thế giới di động có cường lực của honor x8b k ạ,4,ratings\honor-x8b.csv
honor-x8b,"ko có NFC. rất tiếc. honor quá lac hậu so với nhiều hãng. hiệu năng tạm ổn ,bèn hay ko. để 19 tháng mới biết.",4,ratings\honor-x8b.csv
honor-x8b,"Mua online bên này báo ngoài ip ra thì hàng ko có full box, máy nhìn tạm ổn hơi nhẹ hơn Xiaomi, tuy nhiên gọi zalo mạng WiFi và 4GB đứng hình suốt mà check các máy khác thì vẫn gọi OK không phải do đường truyền mạng kém. Đã không có thời gian ra cửa hàng, giờ gọi hỏi thì bảo ra cửa hàng bảo hành. Mình mới mua được 2 hôm thôi. Giờ muốn đổi sang ip 13 thì có được đổi không Hay có hỗ trợ 1 đổi 1 không shop ơi Con máy này gọi zalo ko thấy hình chập chờn như vậy hoài dù mạng vẫn ổn định thì sao đây",2,ratings\honor-x8b.csv
honor-x8b,"Tốt, nhưng máy này có phím ảo khóa màn hình vậy",5,ratings\honor-x8b.csv
honor-x8b,Máy này không có hổ trợ thẻ nhớ ngoài hả store,4,ratings\honor-x8b.csv
honor-x8b,Máy dùng rất ngon mượt. Rất đẹp. Không hài lòng lắm khi nv tự ý bóc siu mà chưa có sự đông ý cửa khách. Lm m nghi ngờ máy đã dùng. May là m thấy lướp bọc mới bóc ko thì m ko nhận máy,5,ratings\honor-x8b.csv
honor-x8b,"TGDD đổi 11 khi điện thoại mình bị lỗi ko gửi nhận tin nhắn, cuộc gọi đc, dù hơi tốn công nhưng nhìn chung mình khá hài lòng vs cách phục vụ của shop",5,ratings\honor-x8b.csv
honor-x8b,Chíp 680 mà tối ưu tốt thật. Thiết kế đẹp bộ nhớ cao. Thao tác mượt mà.,5,ratings\honor-x8b.csv
honor-x8b,"Nhanh hết pin, sạc đầy pin để 1 ngày k dùng gì mà pin gần hết. Vào chomre gõ thì lag k lên chữ. Thỉnh thoảnh bị. Có đổi trả được không. Máy dùng được 10ngay",3,ratings\honor-x8b.csv
honor-x8b,mới mua được 1 tuần có đổi trả được không ạ,3,ratings\honor-x8b.csv
honor-x8b,Máy OK dùng rất thích chụp hình đẹp với cái giá hơn 6tr thì làm sao bì được với iPhone. So với Redmi thì Redmi phải gọi honor bằng cụ,5,ratings\honor-x8b.csv
