product_id,comment,comment_clean_stage1,rating
iphone-15-plus,Sạc 25 lần tuột 1% pin kém quá,sạc 25 lần tuột 1% pin kém quá!,2
iphone-15-plus,"Màu xanh lá ,96% bán lại bao nhiêu ạ","màu xanh lá , 96% bán lại bao nhiêu ạ?",3
iphone-15-plus,Sai mới 4thang mà hao hết 3% pin hối hận,"sai mới 4 tháng mà hao hết 3% pin, hối hận.",2
iphone-15-plus,"Mới mua chưa đc 1tháng, dùng cũng mướt nhưng lâu lâu đag vào ứng dụng và treo và tự thoát ra, ko hỉu lý do","mới mua chưa được 1 tháng, dùng cũng mướt nhưng lâu lâu đang vào ứng dụng và treo và tự thoát ra, không hiểu lý do.",4
iphone-15-plus,Mới sài có 8tháng pin còn 95%. Quá bưa.,mới sài có 8 tháng pin còn 95%. quá bưa.,3
iphone-15-plus,"Tôi mua được 4 tháng, giờ màn hình đổ mực. Khi nhân viên kiểm tra báo Tôi có cấn thân máy. Tôi không thấy. Nhưng tôi vẫn đồng ý,nhưng lại báo hãng có cấn màn hình và hãng báo không bảo hành. Tôi đã khiếu nại và đang chờ giải quyết. Không biết ra sao đây. Mời cả xem coi có thấy cấn màn hình chổi nào không ạ","tôi mua được bốn tháng, giờ màn hình đổ mực. khi nhân viên kiểm tra báo tôi có cấn thân máy. tôi không thấy. nhưng tôi vẫn đồng ý, nhưng lại báo hãng có cấn màn hình và hãng báo không bảo hành. tôi đã khiếu nại và đang chờ giải quyết. không biết ra sao đây. mời cả xem coi có thấy cấn màn hình chổi nào không ạ?",3
iphone-15-plus,Trải nghiệm rất tuyệt,trải nghiệm rất tuyệt.,5
iphone-15-plus,Ủa mua online giá rẻ hơn mua ở tiệm àh shop. Tại tối qua em mới mua giá hơn 23tr.,ủa mua online giá rẻ hơn mua ở tiệm và shop. tại tối qua em mới mua giá hơn 23tr.,4
iphone-15-plus,Sài tốt.,sài tốt.,5
iphone-15-plus,"Máy xài đc mới 3 tháng , chu kì sạc chỉ 38 lần đã tuột 2% thấy chất lượng tệ nhỉ","máy xài được mới ba tháng , chu kì sạc chỉ 38 lần đã tuột 2% thấy chất lượng tệ nhỉ!",2
iphone-15-plus,hôm qua mình mới mua máy. cho mình hỏi sao k kết nối được imess và facetime với sđt dc vậy ạ. e thử các cách hướng dẫn trên mạng rồi. kbiet nvay có đổi 11 dc k ạ huhu,hôm qua mình mới mua máy. cho mình hỏi sao không kết nối được imess và facetime với số điện thoại được vậy ạ..em thử các cách hướng dẫn trên mạng rồi..biet như vậy có đổi 11 được không ạ?huhu.,5
iphone-15-plus,"Sản phẩm tốt, máy dùng mượt, pin trâu. % Pin 1 tháng đầu hơi hao 3% tới nay vẫn chưa tụt, cụm viền camera dễ xước ko đụng chạm va đập rơi gì hết vẫn xước ít. Đánh giá máy tốt nên dùng máy nhẹ xài ốp oke, nhiều màu camera đẹp rẻ hơn 14Promax. Đã mua được 5 tháng.","sản phẩm tốt, máy dùng mượt, pin trâu. phần trăm pin một tháng đầu hơi hao 3% tới nay vẫn chưa tụt, cụm viền camera dễ xước không đụng chạm va đập rơi gì hết vẫn xước ít. đánh giá máy tốt nên dùng máy nhẹ xài ốp oke, nhiều màu camera đẹp rẻ hơn 14promax. đã mua được năm tháng.",5
iphone-15-plus,mát mượt xài rất tốt giá ok hợp lý,"mềm mượt, xài rất tốt, giá ok hợp lý.",5
iphone-15-plus,"Nhân viên nhiệt tình, máy xài êm 10đ","nhân viên nhiệt tình, máy xài êm, 10đ.",5
