product_id,comment,comment_clean_stage1,rating
oppo-reno12-f-5g-12gb-256gb,Rất hài lòng về cách của nhân viên phục vụ và máy đẹp xài rất là ok,rất hài lòng về cách của nhân viên phục vụ và máy đẹp xài rất là ok.,5
oppo-reno12-f-5g-12gb-256gb,OK trong tầm giá không chơi game nên thấy ok cấu hình thì không cao lắm bật 120 Hz nên mới nhanh,"ok trong tầm giá, không chơi game nên thấy ok, cấu hình thì không cao lắm, bật 120 hz nên mới nhanh.",5
oppo-reno12-f-5g-12gb-256gb,Cam mờ màn hiển thị không đẹp vân tay thì chậm truy xuất không nhanh nhạc thì tệ thua xa cả reno 7z 5g,"cắm mờ, màn hiển thị không đẹp, vân tay thì chậm, truy xuất không nhanh, nhạc thì tệ, thua xa cả reno 7g 5g.",1
oppo-reno13-f-5g,Mh mua tối ngày hôm qua.dt k xài vẩn nóng bừng dù để phòng máy lạnh.,màn hình mua tối ngày hôm qua.dt không xài vẩn nóng bừng dù để phòng máy lạnh.,3
oppo-reno13-f-5g,camera chụp hình tệ quá đang muốn đổi gấp hic thất vọng,"camera chụp hình tệ quá, đang muốn đổi gấp, thích thất vọng.",1
oppo-reno13-f-5g,Lúc mua thì oke . Lúc mk ko thích bán lại. Thì chi nhánh. Ko có tiền. Trog khi cả 1 tập đoàn lớn .,lúc mua thì ok . lúc mình không thích bán lại. thì chi nhánh. không có tiền. trong khi cả một tập đoàn lớn .,1
oppo-reno13-f-5g,"Gì cũng ổn ,chỉ có pin là chưa đc 1 ngày đã hết pin ,giới thiệu pin trâu nhưng xài chưa hết ngày là hết pin","cái gì cũng ổn ,chỉ có pin là chưa được một ngày đã hết pin ,giới thiệu pin trâu nhưng xài chưa hết ngày là hết pin.",3
oppo-reno13-f-5g,Máy ổn. Mượt nhưng không tải được ứng dụng thứ ba. Trong khi mình mua máy để sử dụng các ứng dụng này. Cảm thấy hối hận. Trong khi con oppo renot12 thì tải được. Nếu được xin nhân viên hỗ trợ.,máy ổn. mượt nhưng không tải được ứng dụng thứ ba. trong khi mình mua máy để sử dụng các ứng dụng này. cảm thấy hối hận. trong khi con oppo renot12 thì tải được. nếu được xin nhân viên hỗ trợ.,4
oppo-reno13-f-5g,"Máy nhanh nóng cam thì mờ, gọi thoại zl tầm 30 là nóng xỉu sd mới 1tháng nhưng có lỗi giật lag k mượt pin sạc cũng lâu,all tb đã bật nhưng k hiện nhiều lúc cảm ứng k mượt nữa đang muốn đổi qua sp khác nhưng đang trả góp k biết phải làm sao luôn","máy nhanh nóng, cảm thì mờ, gọi thoại zalo tầm 30 là nóng xỉu, sử dụng mới 1 tháng nhưng có lỗi giật lag, không mượt, pin sạc cũng lâu, all thông báo đã bật nhưng không hiện, nhiều lúc cảm ứng không mượt nữa, đang muốn đổi qua sản phẩm khác nhưng đang trả góp không biết phải làm sao luôn.",3
oppo-reno13-f-5g,Này hk có sử dụng đc vân tay hả mn,"này, họ có sử dụng được vân tay hả mọi người?",4
oppo-reno13-f-5g,Điện thoại Sài ok mượt mik trải nghiệm được 1 tháng thấy ok nên mua nhe mọi người,"điện thoại sài ok mượt, mình trải nghiệm được một tháng thấy ok nên mua như mọi người.",5
oppo-reno13-f-5g,"Rất tệ mới đúng. Bắt Wifi 5g ma len ko nổi.. hối han thật sự , đối trả thì mất 20% nhiều lúc đang gấp ma ko len mạng dc la đập bỏ qua ..","rất tệ mới đúng. bắt wifi 5g ma len không nổi.. hối han thật sự , đối trả thì mất 20% nhiều lúc đang gấp ma không len mạng được la đập bỏ qua ..",2
oppo-reno13-f-5g,Sài lầm khi mua mình mua chả góp 1 tháng muốn đổi sản phẩm khác,sai lầm khi mua: mình mua chả góp một tháng muốn đổi sản phẩm khác.,2
oppo-reno13-f-5g,"Điện thoại này bắt sóng wifi,5g hơi kém . điện thoại này có thực sự xuống nước quay phim chụp ảnh được không còn chưa biết","điện thoại này bắt sóng wifi, 5g hơi kém . điện thoại này có thực sự xuống nước quay phim, chụp ảnh được không còn chưa biết ..",3
oppo-reno13-f-5g,"Sản phẩm kém chất lượng, nhân viên thái độ khi ra đổi trả sản phẩm, lần cuối cùng mua hàng ở đây","sản phẩm kém chất lượng, nhân viên thái độ khi ra đổi trả sản phẩm, lần cuối cùng mua hàng ở đây.",2
oppo-reno13-f-5g,Mới mua dùng 1 ngày cảm thấy máy nóng đi bin nhanh đt video mờ,"mới mua dùng một ngày cảm thấy máy nóng, đi pin nhanh, điện thoại video mờ.",3
oppo-reno13-f-5g,"Màn hình độ sáng thấp , hay bị nóng máy","màn hình độ sáng thấp , hay bị nóng máy.",2
oppo-reno13-f-5g,Mình mới mua mới 1 ngày muốn đổi lại dòng khác có mất phí gì không Xin được tư vấn,"mình mới mua mới một ngày, muốn đổi lại dòng khác có mất phí gì không xin được tư vấn?",3
oppo-reno13-f-5g,Tôi mua trả góp tại thế giới Di Động mới được 1 tháng.nay muốn đổi lại máy hãng khác không biết có được không.rat mong sự phản hồi tích cực của nhà bán hàng.cảm ơn.,tôi mua trả góp tại thế giới di động mới được một tháng.nay muốn đổi lại máy hãng khác không biết có được không.rat mong sự phản hồi tích cực của nhà bán hàng.cảm ơn.,1
oppo-reno13-f-5g,"Gọi điện message+ zalo cam trước sau rất kém, tối thui thua xa con Reno 2f 5năm trước Cần tư vấn từ cửa hàng","gọi điện message: yahoo cam trước sau rất kém, tối thui thua xa con reno 2 - 5 năm trước cần tư vấn từ cửa hàng.",2
oppo-reno13-f-5g,"Pin dùng ổn, mọi chức năng ok cảm ứng mượt mà vì mình ko chơi game nên ko đánh giá đc hết thời lượng, chụp ảnh ok , Nhược điểm Bắt wifi yếu vào mạng kém hơn các dòng khác","pin dùng ổn, mọi chức năng ok, cảm ứng mượt mà vì mình không chơi game nên không đánh giá được hết thời lượng, chụp ảnh ok , nhược điểm bắt wifi yếu, vào mạng kém hơn các dòng khác.",3
oppo-reno13-f-5g,"Không bứt phá nhiều ,mà giá cao. Phù hợp cho nhu cầu giải trí bình thường, Chụp ảnh quay phim hơi chán.","không bứt phá nhiều ,mà giá cao. phù hợp cho nhu cầu giải trí bình thường, chụp ảnh quay phim hơi chán.",3
oppo-reno13-f-5g,Cho sản phẩm cửa hàng 5sao nhé....,cho sản phẩm cửa hàng 5 sao nhé....,5
oppo-reno13-f-5g,Ôn,ôn.,4
oppo-reno13-f-5g,Camera trước gọi video k đc rõ.. chơi game máy nóng kinh khủng,camera trước gọi video không được rõ.. chơi game máy nóng kinh khủng.,3
realme-note-50-64gb,Máy mua về bị chậm quá nhiều khi vào tiktok mà đợi hoài ko vào được luôn.mà bắt wifi kém,"máy mua về bị chậm quá nhiều khi vào tiktok mà đợi hoài không vào được luôn, mà bắt wifi kém.",2
realme-note-50-64gb,thông báo tất cả app điều trễ mua về muốn đập,thông báo tất cả app điều trị mua về muốn đập.,1
realme-note-50-64gb,Mk mua được mấy tháng hỏi xem có đổi lên máy 4GB được không,"mình mua được mấy tháng, hỏi xem có đổi lên máy 4g được không.",3
realme-note-50-64gb,May qua kem luc toi luc sang man hinh mua may lan khong an thua,máy qua kem luc toi luc sang man hinh mua máy lan khong an thua.,1
realme-note-50-64gb,Thông báo .cuộc gọi zalo.facebook không báo. Chạy đa nhiệm không nổi.mua về muốn đập nát luôn,"thông báo: cuộc gọi zalo..facebook không báo.., chạy đa nhiệm không nổi..mua về muốn đập nát luôn.",1
realme-note-50-64gb,Điện thoại lag quá. Không nên mua.,điện thoại lag quá. không nên mua.,1
realme-note-50-64gb,OK rất tốt,"ok, rất tốt.",5
realme-note-50-64gb,Sài ổn trong tầm giá,tài ổn trong tầm giá.,4
realme-note-50-64gb,"Mình mua được 4 ngày rồi giờ mình muốn đổi máy khác được ko vậy ad, nếu mất phí thì mình mất bao nhiêu/ vậy","mình mua được bốn ngày rồi, giờ mình muốn đổi máy khác được không vậy ad, nếu mất phí thì mình mất bao nhiêu/ vậy?",4
realme-note-50-64gb,"Mua 1 lần và đổi 1 lần về hư tiếp , đt này mau hư lắm mọi người ko nên mua nhé","mua một lần và đổi một lần về hư tiếp , điện thoại này mau hư lắm mọi người không nên mua nhé.",1
realme-note-50-64gb,"E mới mua realme note ,50 mới bên tgdd đc 2 ngày h e muốn bán lấy tiền mặt là đc bn á lúc mua 2triệu 4 90 phụ kiện hộp đầy đủ ạ","em mới mua realme note ,50 mới bên thế giới di động được hai ngày, giờ em muốn bán lấy tiền mặt là được bao nhiêu á, lúc mua 2 triệu bốn 90 phụ kiện hộp đầy đủ ạ?",5
realme-note-50-64gb,"Ổn định trong tầm giá.Phụ huynh, trẻ nhỏ tác vụ đơn giản dùng mxh thì ok.","ổn định trong tầm giá.phụ huynh, trẻ nhỏ tác vụ đơn giản dùng mhxh thì ok.",4
realme-note-50-64gb,Rất tốt,rất tốt.,5
realme-note-50-64gb,Đã trả giựt lắc kinh khủng,đã trả giựt lắc kinh khủng.,1
realme-note-50-64gb,"Máy sài mượt, ok, tốt trong tầm giá, sẽ giới thiệu cho người thân khi mua máy phân khúc hơn 2 triệu.","máy sài mượt, ok, tốt trong tầm giá, sẽ giới thiệu cho người thân khi mua máy phân khúc hơn hai triệu.",5
realme-note-50-64gb,Mới mua mấy ngày.hiện tượng giật lag rất nhiều ko mượt.thoát ra vào cũng bị đơ lag chuyển đổi ứng dụng cũng lag đơ liên tục.đt chỉ xem ytb mạng XH nghe gọi thôi ko chơi game mà cũng giật lag.nói chung sản phẩm quá tệ Ko nên mua,"mới mua mấy ngày.hiện tượng giật lag rất nhiều, không mượt.thoát ra vào cũng bị đơ, lag, chuyển đổi ứng dụng cũng lag đơ liên tục.đt chỉ xem youtube, mạng xã nghe gọi thôi không chơi game mà cũng giật lag.nói chung sản phẩm quá tệ không nên mua.",1
realme-note-50-64gb,Hơi lác,hơi lác.,2
